point,east,north,zone,hemisphere,lat,lon,psf,grid_conv
Amity,NaN,NaN,56,South,nan,nan,nan,nan
Amity,543560.3168,6969912.113,56,South,-27.393415301,153.440589970,0.99962342,0.202718
Amity,543529.4246,6969933.895,56,South,-27.393219643,153.440276740,0.99962339,0.202572
Amity,543523.8177,6969937.006,56,South,-27.393191736,153.440219919,0.99962338,0.202546
Amity,543517.9804,6969942.234,56,South,-27.393144725,153.440160692,0.99962338,0.202518
Amity,543512.7965,6969946.162,56,South,-27.393109429,153.440108121,0.99962337,0.202494
Amity,543508.1283,6969949.544,56,South,-27.393079046,153.440060785,0.99962337,0.202472
Amity,543504.1122,6969952.52,56,South,-27.393052308,153.440020059,0.99962336,0.202453
Amity,543499.5521,6969955.78,56,South,-27.393023022,153.439973820,0.99962336,0.202431
Amity,543495.9337,6969957.952,56,South,-27.393003529,153.439937146,0.99962335,0.202414
Amity,543492.5261,6969959.693,56,South,-27.392987921,153.439902618,0.99962335,0.202398
Amity,543533.8313,6969930.444,56,South,-27.393250657,153.440321433,0.99962339,0.202593
Amity,543526.9989,6969933.97,56,South,-27.393219043,153.440252203,0.99962339,0.202561
Amity,543520.5779,6969936.757,56,South,-27.393194088,153.440187160,0.99962338,0.202531
Amity,543515.5634,6969939.114,56,South,-27.393172969,153.440136358,0.99962337,0.202507
Amity,543511.0536,6969941.489,56,South,-27.393151672,153.440090660,0.99962337,0.202486
Amity,543506.9191,6969943.588,56,South,-27.393132855,153.440048768,0.99962336,0.202467
Amity,543502.3232,6969945.827,56,South,-27.393112788,153.440002204,0.99962336,0.202445
Amity,543498.3604,6969947.292,56,South,-27.393099689,153.439962071,0.99962336,0.202427
Amity,543494.6582,6969948.577,56,South,-27.393088206,153.439924580,0.99962335,0.202409
Amity,543491.7429,6969950.42,56,South,-27.393071661,153.439895028,0.99962335,0.202396
Amity,543541.7741,6969936.888,56,South,-27.393192229,153.440401538,0.9996234,0.202629
Amity,543537.5296,6969940.609,56,South,-27.393158772,153.440358475,0.9996234,0.202609
Amity,543534.0707,6969942.654,56,South,-27.393140420,153.440323418,0.99962339,0.202593
Amity,543529.9113,6969944.582,56,South,-27.393123147,153.440281280,0.99962339,0.202574
Amity,543524.7745,6969949.34,56,South,-27.393080357,153.440229155,0.99962338,0.202549
Amity,543521.5821,6969951.756,56,South,-27.393058647,153.440196780,0.99962338,0.202534
Amity,543518.6941,6969953.697,56,South,-27.393041217,153.440167501,0.99962338,0.202521
Amity,543513.7542,6969956.843,56,South,-27.393012973,153.440117425,0.99962337,0.202497
Amity,543507.9911,6969961.979,56,South,-27.392966790,153.440058953,0.99962337,0.202470
Amity,543500.3149,6969967.123,56,South,-27.392920595,153.439981130,0.99962336,0.202434
Amity,543546.6151,6969947.354,56,South,-27.393097589,153.440450127,0.99962341,0.202651
Amity,543542.4152,6969951.524,56,South,-27.393060077,153.440407499,0.9996234,0.202631
Amity,543538.0123,6969955.758,56,South,-27.393021994,153.440362815,0.9996234,0.202610
Amity,543535.0354,6969959.189,56,South,-27.392991114,153.440332584,0.99962339,0.202596
Amity,543533.3881,6969962.205,56,South,-27.392963939,153.440315815,0.99962339,0.202588
Amity,543531.2108,6969964.264,56,South,-27.392945420,153.440293720,0.99962339,0.202578
Amity,543526.1008,6969967.598,56,South,-27.392915484,153.440241917,0.99962339,0.202554
Amity,543520.3186,6969975.63,56,South,-27.392843158,153.440183147,0.99962338,0.202527
Amity,543513.6376,6969982.306,56,South,-27.392783101,153.440115336,0.99962337,0.202495
Amity,543548.7507,6969953.373,56,South,-27.393043182,153.440471511,0.99962341,0.202661
Amity,543544.1909,6969955.412,56,South,-27.393024920,153.440425319,0.9996234,0.202639
Amity,543540.962,6969957.142,56,South,-27.393009405,153.440392600,0.9996234,0.202624
Amity,543536.8794,6969958.864,56,South,-27.392993989,153.440351246,0.9996234,0.202605
Amity,543531.8224,6969961.376,56,South,-27.392971473,153.440300009,0.99962339,0.202581
Amity,543529.1592,6969962.897,56,South,-27.392957827,153.440273018,0.99962339,0.202569
Amity,543523.2741,6969965.64,56,South,-27.392933251,153.440213397,0.99962338,0.202541
Amity,543515.0067,6969969.287,56,South,-27.392900591,153.440129649,0.99962337,0.202502
Amity,543506.0414,6969973.496,56,South,-27.392862878,153.440038821,0.99962336,0.202460
Amity,543502.8929,6969975.295,56,South,-27.392846738,153.440006913,0.99962336,0.202446
Amity,543552.5704,6969959.368,56,South,-27.392988938,153.440509930,0.99962341,0.202678
Amity,543549.7666,6969960.878,56,South,-27.392975396,153.440481518,0.99962341,0.202665
Amity,543547.8365,6969962.494,56,South,-27.392960869,153.440461938,0.99962341,0.202656
Amity,543545.6537,6969964.712,56,South,-27.392940915,153.440439782,0.99962341,0.202645
Amity,543543.4643,6969966.269,56,South,-27.392926928,153.440417582,0.9996234,0.202635
Amity,543539.503,6969968.986,56,South,-27.392902526,153.440377420,0.9996234,0.202616
Amity,543533.5343,6969973.842,56,South,-27.392858878,153.440316877,0.99962339,0.202588
Amity,543524.2304,6969980.037,56,South,-27.392803247,153.440222554,0.99962338,0.202544
Amity,543515.153,6969986.463,56,South,-27.392745524,153.440130514,0.99962337,0.202502
Amity,543550.5484,6969950.022,56,South,-27.393073377,153.440489813,0.99962341,0.202669
Amity,543547.7452,6969951.251,56,South,-27.393062371,153.440461417,0.99962341,0.202656
Amity,543546.0793,6969946.827,56,South,-27.393102364,153.440444726,0.99962341,0.202649
Amity,543543.5811,6969942.205,56,South,-27.393144170,153.440419624,0.9996234,0.202637
Amity,543539.8515,6969935.475,56,South,-27.393205046,153.440382143,0.9996234,0.202621
Amity,543535.5792,6969931.417,56,South,-27.393241818,153.440339077,0.9996234,0.202601
Amity,543529.478,6969929.506,56,South,-27.393259264,153.440277437,0.99962339,0.202573
Amity,543523.1738,6969928.692,56,South,-27.393266814,153.440213704,0.99962338,0.202544
Amity,543516.7135,6969928.846,56,South,-27.393265630,153.440148357,0.99962338,0.202513
Amity,543510.5905,6969929.099,56,South,-27.393263542,153.440086419,0.99962337,0.202485
Amity,543503.1975,6969930.932,56,South,-27.393247229,153.440011579,0.99962336,0.202450
Amity,543495.9657,6969933.324,56,South,-27.393225865,153.439938349,0.99962335,0.202417
Amity,543488.9512,6969933.973,56,South,-27.393220230,153.439867380,0.99962335,0.202384
Amity,543483.0814,6969934.993,56,South,-27.393211209,153.439807975,0.99962334,0.202356
Amity,543477.938,6969935.307,56,South,-27.393208538,153.439755942,0.99962333,0.202332
Amity,543480.3243,6969941.669,56,South,-27.393151027,153.439779851,0.99962334,0.202343
Amity,543483.4542,6969947.376,56,South,-27.393099406,153.439811303,0.99962334,0.202357
Amity,543487.3857,6969952.737,56,South,-27.393050882,153.439850876,0.99962334,0.202375
Amity,543490.1593,6969958.419,56,South,-27.392999497,153.439878725,0.99962335,0.202388
Amity,543493.6992,6969964.809,56,South,-27.392941697,153.439914300,0.99962335,0.202404
Amity,543498.0944,6969971.345,56,South,-27.392882551,153.439958521,0.99962336,0.202423
Amity,543502.8733,6969976.911,56,South,-27.392832149,153.440006657,0.99962336,0.202445
Amity,543508.4943,6969982.174,56,South,-27.392784457,153.440063320,0.99962337,0.202471
